,Rank,learning_rate,max_depth,n_estimators,Accuracy,Train Score
0,9,0.1,4,1,0.5697310819262039,0.5684986595174263
1,13,0.1,4,5,0.5666041275797373,0.5896782841823056
2,5,0.1,4,10,0.5734834271419638,0.5896782841823056
3,3,0.1,4,50,0.5772357723577236,0.5941018766756032
4,17,0.1,6,1,0.5584740462789243,0.5914209115281501
5,21,0.1,6,5,0.557848655409631,0.6189008042895442
6,11,0.1,6,10,0.5672295184490307,0.6339142091152815
7,1,0.1,6,50,0.5803627267041901,0.6329758713136729
8,23,0.1,10,1,0.5447154471544715,0.6446380697050939
9,7,0.1,10,5,0.5722326454033771,0.7237265415549597
10,15,0.1,10,10,0.5634771732332708,0.7482573726541555
11,17,0.1,10,50,0.5584740462789243,0.7691689008042896
12,9,0.3,4,1,0.5697310819262039,0.5684986595174263
13,13,0.3,4,5,0.5666041275797373,0.5896782841823056
14,5,0.3,4,10,0.5734834271419638,0.5896782841823056
15,3,0.3,4,50,0.5772357723577236,0.5941018766756032
16,17,0.3,6,1,0.5584740462789243,0.5914209115281501
17,21,0.3,6,5,0.557848655409631,0.6189008042895442
18,11,0.3,6,10,0.5672295184490307,0.6339142091152815
19,1,0.3,6,50,0.5803627267041901,0.6329758713136729
20,23,0.3,10,1,0.5447154471544715,0.6446380697050939
21,7,0.3,10,5,0.5722326454033771,0.7237265415549597
22,15,0.3,10,10,0.5634771732332708,0.7482573726541555
23,17,0.3,10,50,0.5584740462789243,0.7691689008042896
